date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:34:04	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:30%20GMT	https://billionday-sale.xyz/fkk/single-products/142	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/142	(from https://billionday-sale.xyz/fkk/)
17:34:04	21896/21896	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Oct%202023%2013:28:46%20GMT	https://billionday-sale.xyz/fkk/single-products/142/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/142/index.html	(from https://billionday-sale.xyz/fkk/)
17:34:05	119997/119997	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202023%2017:59:38%20GMT	https://billionday-sale.xyz/fkk/upload/product/437230919050437.jpg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/product/437230919050437.jpg	(from https://billionday-sale.xyz/fkk/)
17:34:05	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:31%20GMT	https://billionday-sale.xyz/fkk/single-products/141	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/141	(from https://billionday-sale.xyz/fkk/)
17:34:06	22390/22390	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Oct%202023%2013:25:12%20GMT	https://billionday-sale.xyz/fkk/single-products/141/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/141/index.html	(from https://billionday-sale.xyz/fkk/)
17:34:07	248259/248259	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202023%2006:44:40%20GMT	https://billionday-sale.xyz/fkk/upload/product/6801230919045944.jpg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/product/6801230919045944.jpg	(from https://billionday-sale.xyz/fkk/)
17:34:07	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:33%20GMT	https://billionday-sale.xyz/fkk/single-products/140	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/140	(from https://billionday-sale.xyz/fkk/)
17:34:08	22144/22144	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Oct%202023%2010:56:12%20GMT	https://billionday-sale.xyz/fkk/single-products/140/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/140/index.html	(from https://billionday-sale.xyz/fkk/)
17:34:08	133126/133126	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202023%2006:44:40%20GMT	https://billionday-sale.xyz/fkk/upload/product/1286230918194626.jpg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/product/1286230918194626.jpg	(from https://billionday-sale.xyz/fkk/)
17:34:09	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:34%20GMT	https://billionday-sale.xyz/fkk/single-products/139	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/139	(from https://billionday-sale.xyz/fkk/)
17:34:09	24242/24242	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Oct%202023%2010:58:20%20GMT	https://billionday-sale.xyz/fkk/single-products/139/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/139/index.html	(from https://billionday-sale.xyz/fkk/)
